Date,Product,Region,Units_Sold,Unit_Price,Customer_Rating,Marketing_Spend,Sales_Revenue
2026-02-11,Mouse,East,32,385.02,3.28,1068.57,12320.64
2026-02-13,Mouse,East,33,,4.37,648.23,13038.3
2026-02-13,Keyboard,North,41,545.92,,1068.06,22382.72
2026-02-16,Tablet,West,46,123.24,4.04,,5669.04
2026-02-16,Phone,East,39,535.19,3.67,380.41,20872.41
2026-02-17,Laptop,West,35,395.7,4.62,1401.39,13849.5
2026-02-18,Laptop,North,25,553.46,3.49,730.61,13836.5
2026-02-19,Laptop,West,44,530.68,3.61,1228.94,23349.92
2026-02-20,Keyboard,East,37,523.53,4.05,568.37,19370.61
2026-02-20,Monitor,East,30,446.02,3.2,605.62,13380.6
2026-02-21,Keyboard,West,28,546.17,3.41,615.06,15292.76
2026-02-22,Mouse,North,38,687.16,3.7,812.33,26112.08
2026-02-22,Keyboard,West,44,728.66,3.91,813.0,32061.04
2026-02-22,Laptop,East,38,617.11,3.67,524.31,23450.18
2026-02-23,Phone,North,43,338.55,3.51,1142.96,14557.65
2026-02-23,Monitor,South,40,260.35,4.04,357.53,10414.0
2026-02-24,Monitor,East,27,356.73,4.08,972.46,9631.71
2026-02-27,Phone,East,37,434.93,3.79,700.22,16092.41
2026-02-28,Tablet,West,37,287.35,5.0,704.36,10631.95
2026-03-01,Monitor,South,212,347.33,4.01,963.19,14240.53
2026-03-01,Tablet,West,37,410.21,4.16,717.92,15177.77
2026-03-01,Laptop,South,32,369.55,4.1,519.0,11825.6
2026-03-01,Laptop,West,25,534.12,3.82,938.76,13353.0
2026-03-01,Mouse,West,38,312.37,3.75,1170.11,11870.06
2026-03-02,Laptop,North,42,410.43,3.84,877.44,96183.12
2026-03-03,Tablet,West,40,618.09,3.81,577.89,24723.6
2026-03-03,Laptop,West,37,402.18,5.0,589.84,14880.66
2026-03-03,Keyboard,West,39,607.76,4.35,235.16,23702.64
2026-03-03,Monitor,West,30,194.99,4.5,1247.15,5849.7
2026-03-03,Tablet,West,43,374.4,3.77,1292.62,16099.2
2026-03-04,Phone,East,40,530.68,4.68,816.07,21227.2
2026-03-05,Keyboard,East,26,547.6,4.22,862.53,14237.6
2026-03-05,Monitor,North,35,620.38,3.66,860.7,21713.3
2026-03-12,Mouse,East,29,233.57,3.89,1311.6,6773.53
2026-03-13,Laptop,West,40,402.8,4.06,,16112.0
2026-03-13,Laptop,West,27,282.04,,782.71,7615.08
2026-03-14,Phone,North,42,419.19,3.86,1021.33,17605.98
2026-03-15,Phone,East,33,430.33,3.8,795.46,14200.89
2026-03-16,Phone,North,35,408.77,3.81,866.65,14306.95
2026-03-16,Phone,West,35,455.83,3.63,1167.75,15954.05
2026-03-17,Laptop,South,36,686.16,2.77,1029.17,24701.76
2026-03-19,Laptop,West,40,425.48,4.13,1341.17,17019.2
2026-03-19,Mouse,North,38,334.93,4.13,1031.73,12727.34
2026-03-21,Tablet,North,38,363.63,3.73,1542.48,13817.94
2026-03-21,Mouse,West,44,557.19,3.6,860.47,24516.36
2026-03-22,Mouse,North,44,486.9,4.07,589.62,21423.6
2026-03-23,Phone,South,38,306.38,4.08,995.9,11642.44
2026-03-24,Phone,South,33,277.35,3.72,1030.99,9152.55
2026-03-25,Monitor,East,31,361.93,4.47,1103.47,11219.83
2026-03-26,Monitor,North,53,538.37,4.38,1027.57,28533.61
2026-03-28,Laptop,West,33,319.48,3.52,1305.13,10542.84
2026-03-28,Laptop,South,37,464.32,3.83,752.98,17179.84
2026-03-29,Tablet,East,35,379.31,4.24,618.65,13275.85
2026-03-29,Laptop,South,39,456.23,3.75,754.3,17792.97
2026-03-30,Phone,West,29,625.66,4.27,1045.26,18144.14
2026-03-30,Phone,West,30,569.92,4.36,939.56,17097.6
2026-03-30,Tablet,South,36,404.02,3.01,723.88,14544.72
2026-03-31,Keyboard,North,24,382.21,4.59,636.69,9173.04
2026-03-31,Mouse,North,39,423.72,3.84,1438.81,16525.08
2026-04-01,Keyboard,North,35,441.59,4.12,937.32,15455.65
2026-04-02,Monitor,East,38,,3.62,664.9,13610.08
2026-04-02,Phone,South,31,613.58,3.93,871.29,19020.98
2026-04-03,Keyboard,South,38,516.46,3.14,564.64,19625.48
2026-04-03,Mouse,West,27,135.02,3.63,892.26,3645.54
2026-04-05,Mouse,West,44,302.41,4.44,1037.97,13306.04
2026-04-10,Monitor,West,25,100.62,3.75,925.2,2515.5
2026-04-10,Keyboard,South,46,302.83,4.31,319.82,13930.18
2026-04-11,Phone,West,34,418.09,3.95,1108.31,14215.06
2026-04-13,Laptop,South,38,494.28,4.63,962.56,96183.12
2026-04-13,Phone,East,33,458.41,3.79,1534.67,15127.53
2026-04-14,Laptop,North,25,339.35,3.82,461.72,8483.75
2026-04-14,Tablet,West,42,405.88,4.18,842.53,17046.96
2026-04-16,Keyboard,West,35,728.64,3.78,461.63,25502.4
2026-04-17,Laptop,North,30,511.03,4.01,945.97,15330.9
2026-04-18,Keyboard,South,40,,3.54,950.93,5511.6
2026-04-18,Mouse,West,35,442.1,3.31,900.17,15473.5
2026-04-18,Laptop,North,39,212.11,4.09,862.74,8272.29
2026-04-19,Tablet,West,35,504.97,2.95,1101.65,17673.95
2026-04-19,Tablet,North,36,333.11,4.2,700.39,11991.96
2026-04-21,Monitor,South,43,313.99,3.29,958.66,13501.57
2026-04-21,Laptop,West,37,419.57,5.0,307.57,15524.09
2026-04-24,Mouse,East,33,483.4,4.43,867.41,15952.2
2026-04-26,Mouse,East,39,593.48,4.04,836.29,23145.72
2026-04-27,Phone,West,33,101.21,2.87,1113.06,3339.93
