InvoiceNo,CustomerID,Country,InvoiceDate,total_quantity,unique_items,line_items,avg_unit_price,invoice_total,InvoiceHour,InvoiceMonth,high_value_invoice
536437,13694,United Kingdom,2010-12-01 12:12:00,1004,6,6,1.7633333333333334,842.12,12,2010-12,1
536446,15983,United Kingdom,2010-12-01 12:15:00,323,28,31,1.8864516129032256,430.99,12,2010-12,0
536460,14849,United Kingdom,2010-12-01 12:22:00,158,14,14,3.5485714285714285,295.54,12,2010-12,0
536463,14849,United Kingdom,2010-12-01 12:22:00,12,1,1,1.45,17.4,12,2010-12,0
536464,17968,United Kingdom,2010-12-01 12:23:00,151,74,81,1.9256790123456788,265.1,12,2010-12,0
536466,14849,United Kingdom,2010-12-01 12:23:00,18,2,2,2.85,42.9,12,2010-12,0
536477,16210,United Kingdom,2010-12-01 12:27:00,1070,14,14,2.5885714285714285,2474.74,12,2010-12,1
536488,17897,United Kingdom,2010-12-01 12:31:00,71,31,34,2.71235294117647,163.34,12,2010-12,0
536500,17377,United Kingdom,2010-12-01 12:35:00,102,15,15,2.8133333333333335,223.9,12,2010-12,0
536502,16552,United Kingdom,2010-12-01 12:36:00,39,5,5,4.638,95.29,12,2010-12,0
536508,17181,United Kingdom,2010-12-01 12:38:00,216,2,2,0.805,155.52,12,2010-12,0
536514,17951,United Kingdom,2010-12-01 12:40:00,118,5,5,4.4,295.5,12,2010-12,0
536520,14729,United Kingdom,2010-12-01 12:43:00,197,69,71,2.159154929577465,313.49,12,2010-12,0
536521,12748,United Kingdom,2010-12-01 12:48:00,1,1,1,4.95,4.95,12,2010-12,0
536522,15012,United Kingdom,2010-12-01 12:49:00,84,46,52,2.7632692307692306,188.56,12,2010-12,0
536523,12868,United Kingdom,2010-12-01 12:50:00,112,12,12,3.170833333333333,203.3,12,2010-12,0
536524,17572,United Kingdom,2010-12-01 12:51:00,24,4,4,2.95,70.80000000000001,12,2010-12,0
536525,14078,United Kingdom,2010-12-01 12:54:00,29,13,13,3.49,136.24,12,2010-12,0
536526,14001,United Kingdom,2010-12-01 12:58:00,94,9,9,4.415555555555556,301.24,12,2010-12,0
536527,12662,Germany,2010-12-01 13:04:00,157,15,15,2.9579999999999997,261.48,13,2010-12,0
536528,15525,United Kingdom,2010-12-01 13:17:00,113,44,48,3.2762499999999997,274.93,13,2010-12,0
536529,14237,United Kingdom,2010-12-01 13:20:00,38,9,9,7.122222222222222,161.0,13,2010-12,0
536530,17905,United Kingdom,2010-12-01 13:21:00,71,22,22,4.9386363636363635,200.5,13,2010-12,0
536531,15485,United Kingdom,2010-12-01 13:23:00,391,22,22,4.181363636363636,939.59,13,2010-12,1
536532,12433,Norway,2010-12-01 13:24:00,1852,73,73,1.4064383561643836,1919.14,13,2010-12,1
536533,16955,United Kingdom,2010-12-01 13:31:00,80,6,6,6.675,156.1,13,2010-12,0
536534,15350,United Kingdom,2010-12-01 13:33:00,51,5,5,2.6700000000000004,115.65,13,2010-12,0
536535,15605,United Kingdom,2010-12-01 13:38:00,71,12,12,4.8500000000000005,194.85,13,2010-12,0
536536,18144,United Kingdom,2010-12-01 13:45:00,95,3,3,2.6300000000000003,165.04999999999998,13,2010-12,0
536537,15922,United Kingdom,2010-12-01 13:51:00,138,11,11,4.409090909090909,369.5,13,2010-12,0
536538,14594,United Kingdom,2010-12-01 13:54:00,146,31,31,3.008709677419355,255.0,13,2010-12,0
536539,15165,United Kingdom,2010-12-01 14:03:00,160,27,27,4.987037037037037,487.75,14,2010-12,1
536540,14911,EIRE,2010-12-01 14:05:00,231,20,20,6.6194999999999995,540.38,14,2010-12,1
536541,14911,EIRE,2010-12-01 14:05:00,12,1,1,1.25,15.0,14,2010-12,0
536542,16456,United Kingdom,2010-12-01 14:11:00,392,16,16,1.965625,787.4,14,2010-12,1
536551,17346,United Kingdom,2010-12-01 14:34:00,84,29,31,2.1380645161290324,134.11,14,2010-12,0
536556,17643,United Kingdom,2010-12-01 14:38:00,71,8,8,4.01875,101.55,14,2010-12,0
536557,17841,United Kingdom,2010-12-01 14:41:00,198,62,64,3.8553125,532.43,14,2010-12,1
536559,17873,United Kingdom,2010-12-01 14:54:00,117,7,8,2.1625,204.95,14,2010-12,0
536560,13093,United Kingdom,2010-12-01 15:00:00,256,13,13,5.18076923076923,799.4,15,2010-12,1
536561,12921,United Kingdom,2010-12-01 15:06:00,140,15,15,2.4833333333333334,322.40000000000003,15,2010-12,0
536562,13468,United Kingdom,2010-12-01 15:08:00,99,18,18,5.016666666666667,308.65,15,2010-12,0
536563,17760,United Kingdom,2010-12-01 15:08:00,165,9,9,2.6244444444444444,172.54,15,2010-12,0
536564,13468,United Kingdom,2010-12-01 15:08:00,12,2,2,5.699999999999999,51.4,15,2010-12,0
536566,16928,United Kingdom,2010-12-01 15:21:00,93,6,6,1.25,116.25,15,2010-12,0
536567,16048,United Kingdom,2010-12-01 15:27:00,132,7,7,1.792857142857143,251.40000000000003,15,2010-12,0
536568,16048,United Kingdom,2010-12-01 15:28:00,12,1,1,0.42,5.04,15,2010-12,0
536569,16274,United Kingdom,2010-12-01 15:35:00,153,64,65,4.313846153846153,351.75,15,2010-12,0
536570,14496,United Kingdom,2010-12-01 15:35:00,86,5,5,5.358,304.34000000000003,15,2010-12,0
536571,14696,United Kingdom,2010-12-01 15:37:00,284,18,18,2.3216666666666668,294.62,15,2010-12,0
536572,16539,United Kingdom,2010-12-01 15:40:00,301,21,21,2.407142857142857,442.35,15,2010-12,0
536573,17025,United Kingdom,2010-12-01 15:45:00,136,4,4,0.9775,143.12,15,2010-12,0
536574,17025,United Kingdom,2010-12-01 15:46:00,3,1,1,5.95,17.85,15,2010-12,0
536575,13777,United Kingdom,2010-12-01 16:01:00,858,8,8,2.09875,1552.98,16,2010-12,1
536576,13777,United Kingdom,2010-12-01 16:11:00,1122,16,16,2.30625,2558.42,16,2010-12,1
536577,13777,United Kingdom,2010-12-01 16:13:00,388,4,4,1.3,497.0,16,2010-12,1
536578,17690,United Kingdom,2010-12-01 16:15:00,104,8,8,3.2062500000000003,279.6,16,2010-12,0
536579,13777,United Kingdom,2010-12-01 16:16:00,276,2,2,1.255,315.96000000000004,16,2010-12,0
536580,17690,United Kingdom,2010-12-01 16:17:00,66,6,6,1.525,97.2,16,2010-12,0
536581,13777,United Kingdom,2010-12-01 16:19:00,200,1,1,1.65,330.0,16,2010-12,0
536582,12947,United Kingdom,2010-12-01 16:21:00,184,17,17,2.9605882352941175,304.04,16,2010-12,0
536583,13777,United Kingdom,2010-12-01 16:21:00,120,1,1,1.65,198.0,16,2010-12,0
536584,13777,United Kingdom,2010-12-01 16:22:00,384,1,1,2.95,1132.8000000000002,16,2010-12,1
536585,17460,United Kingdom,2010-12-01 16:24:00,2,1,1,9.95,19.9,16,2010-12,0
536586,18229,United Kingdom,2010-12-01 16:25:00,44,7,7,6.95,344.2,16,2010-12,0
536587,14142,United Kingdom,2010-12-01 16:33:00,313,22,22,1.7704545454545455,311.81,16,2010-12,0
536588,17069,United Kingdom,2010-12-01 16:49:00,103,11,11,3.2954545454545454,277.05,16,2010-12,0
536590,13065,United Kingdom,2010-12-01 16:52:00,74,14,14,5.222142857142857,205.86,16,2010-12,0
536591,14606,United Kingdom,2010-12-01 16:57:00,93,40,40,2.94875,198.32,16,2010-12,0
536593,16835,United Kingdom,2010-12-01 17:15:00,19,5,5,5.340000000000001,81.75,17,2010-12,0
536594,15235,United Kingdom,2010-12-01 17:22:00,34,5,5,2.71,79.5,17,2010-12,0
536595,13576,United Kingdom,2010-12-01 17:24:00,108,11,11,3.2763636363636364,349.15,17,2010-12,0
536597,18011,United Kingdom,2010-12-01 17:35:00,71,28,28,2.3610714285714285,102.79,17,2010-12,0
536598,13090,United Kingdom,2010-12-02 07:48:00,76,4,4,1.9,160.6,7,2010-12,0
536599,15694,United Kingdom,2010-12-02 07:49:00,80,6,6,5.358333333333333,306.4,7,2010-12,0
536600,17850,United Kingdom,2010-12-02 08:32:00,56,12,12,6.5475,251.62,8,2010-12,0
536601,17850,United Kingdom,2010-12-02 08:33:00,12,2,2,1.85,22.200000000000003,8,2010-12,0
536602,17850,United Kingdom,2010-12-02 08:34:00,64,12,12,2.955,163.76,8,2010-12,0
536603,17850,United Kingdom,2010-12-02 08:40:00,12,2,2,1.85,22.200000000000003,8,2010-12,0
536604,14741,United Kingdom,2010-12-02 08:43:00,114,9,9,1.7944444444444445,184.5,8,2010-12,0
536605,13715,United Kingdom,2010-12-02 08:52:00,107,15,15,3.3200000000000003,272.65000000000003,8,2010-12,0
536607,17732,United Kingdom,2010-12-02 09:29:00,93,18,18,4.9494444444444445,303.97,9,2010-12,0
536608,12855,United Kingdom,2010-12-02 09:37:00,30,3,3,1.55,38.1,9,2010-12,0
536609,17850,United Kingdom,2010-12-02 09:41:00,88,16,16,3.113125,244.46,9,2010-12,0
536610,17850,United Kingdom,2010-12-02 09:42:00,12,2,2,1.85,22.200000000000003,9,2010-12,0
536611,15752,United Kingdom,2010-12-02 09:43:00,153,14,14,1.885714285714286,259.65000000000003,9,2010-12,0
536612,17850,United Kingdom,2010-12-02 09:44:00,82,15,15,2.810666666666667,206.76,9,2010-12,0
536613,17855,United Kingdom,2010-12-02 09:44:00,197,17,17,1.7658823529411765,208.97,9,2010-12,0
536614,17850,United Kingdom,2010-12-02 09:44:00,12,2,2,1.85,22.200000000000003,9,2010-12,0
536615,14047,United Kingdom,2010-12-02 10:09:00,108,12,12,5.665833333333333,286.92,10,2010-12,0
536616,17925,United Kingdom,2010-12-02 10:10:00,72,1,1,3.39,244.08,10,2010-12,0
536617,13941,United Kingdom,2010-12-02 10:17:00,644,11,11,2.1336363636363633,1095.12,10,2010-12,1
536618,17017,United Kingdom,2010-12-02 10:17:00,600,21,21,1.433809523809524,780.12,10,2010-12,1
536619,17017,United Kingdom,2010-12-02 10:18:00,48,2,2,2.6,97.2,10,2010-12,0
536620,14135,United Kingdom,2010-12-02 10:27:00,741,23,23,1.26,485.25,10,2010-12,1
536621,13108,United Kingdom,2010-12-02 10:35:00,298,10,10,1.752,350.06,10,2010-12,0
536623,15601,United Kingdom,2010-12-02 10:39:00,666,48,48,1.7191666666666665,768.38,10,2010-12,1
536624,13418,United Kingdom,2010-12-02 10:45:00,228,22,22,3.4518181818181817,610.64,10,2010-12,1
536626,13418,United Kingdom,2010-12-02 10:46:00,6,1,1,2.1,12.6,10,2010-12,0
536627,15658,United Kingdom,2010-12-02 10:53:00,64,14,14,7.192857142857143,306.2,10,2010-12,0
536628,17850,United Kingdom,2010-12-02 10:54:00,86,16,16,3.113125,230.56,10,2010-12,0
536629,17850,United Kingdom,2010-12-02 10:55:00,12,2,2,1.85,22.200000000000003,10,2010-12,0
536630,17850,United Kingdom,2010-12-02 10:56:00,88,16,16,3.113125,244.46,10,2010-12,0
536631,17850,United Kingdom,2010-12-02 10:58:00,12,2,2,1.85,22.200000000000003,10,2010-12,0
536632,14388,United Kingdom,2010-12-02 11:02:00,170,21,21,3.0095238095238095,312.8,11,2010-12,0
536633,14901,United Kingdom,2010-12-02 11:20:00,105,18,18,2.516666666666667,204.15,11,2010-12,0
536634,18041,United Kingdom,2010-12-02 11:21:00,159,14,14,2.045714285714286,193.78,11,2010-12,0
536635,15955,United Kingdom,2010-12-02 11:22:00,246,20,20,2.9455,572.38,11,2010-12,1
536636,15070,United Kingdom,2010-12-02 11:23:00,36,1,1,2.95,106.2,11,2010-12,0
536637,18041,United Kingdom,2010-12-02 11:35:00,157,55,59,1.9361016949152543,219.66,11,2010-12,0
536638,16244,United Kingdom,2010-12-02 11:41:00,619,63,63,2.6331746031746035,1056.63,11,2010-12,1
536639,15111,United Kingdom,2010-12-02 11:45:00,106,16,16,4.05,288.5,11,2010-12,0
536641,12748,United Kingdom,2010-12-02 11:46:00,1,1,1,4.25,4.25,11,2010-12,0
536643,14390,United Kingdom,2010-12-02 11:57:00,74,26,27,3.2574074074074075,223.7,11,2010-12,0
536663,16546,United Kingdom,2010-12-02 12:07:00,156,6,6,1.8416666666666668,299.40000000000003,12,2010-12,0
536667,15260,United Kingdom,2010-12-02 12:09:00,214,16,16,3.18125,362.5,12,2010-12,0
536670,15260,United Kingdom,2010-12-02 12:09:00,40,1,1,1.45,58.0,12,2010-12,0
536671,13305,United Kingdom,2010-12-02 12:10:00,132,5,5,1.09,136.2,12,2010-12,0
536672,14491,United Kingdom,2010-12-02 12:10:00,40,4,4,4.15,127.2,12,2010-12,0
536673,14060,United Kingdom,2010-12-02 12:11:00,504,8,8,0.73875,339.84,12,2010-12,0
536674,15923,United Kingdom,2010-12-02 12:16:00,122,21,21,2.814761904761905,127.08,12,2010-12,0
536676,16752,United Kingdom,2010-12-02 12:18:00,54,9,9,13.594444444444443,207.5,12,2010-12,0
536681,17287,United Kingdom,2010-12-02 12:22:00,46,13,13,2.810769230769231,113.92,12,2010-12,0
536685,17850,United Kingdom,2010-12-02 12:23:00,108,17,17,5.0329411764705885,380.46,12,2010-12,0
536688,17850,United Kingdom,2010-12-02 12:24:00,12,2,2,1.85,22.200000000000003,12,2010-12,0
536690,17850,United Kingdom,2010-12-02 12:25:00,92,17,17,5.0329411764705885,331.26,12,2010-12,0
536693,17850,United Kingdom,2010-12-02 12:26:00,12,2,2,1.85,22.200000000000003,12,2010-12,0
536698,15363,United Kingdom,2010-12-02 12:28:00,144,16,16,2.9875000000000003,326.0,12,2010-12,0
536707,12915,United Kingdom,2010-12-02 12:33:00,41,13,13,7.6923076923076925,199.65,12,2010-12,0
536732,15544,United Kingdom,2010-12-02 12:47:00,274,26,26,1.9530769230769232,354.54,12,2010-12,0
536733,15738,United Kingdom,2010-12-02 12:50:00,255,14,14,1.8464285714285715,329.65000000000003,12,2010-12,0
536735,17381,United Kingdom,2010-12-02 12:58:00,128,1,1,1.65,211.2,12,2010-12,0
536736,17381,United Kingdom,2010-12-02 12:59:00,1296,5,5,0.828,824.88,12,2010-12,1
536738,15827,United Kingdom,2010-12-02 13:06:00,42,7,7,6.160000000000001,98.18,13,2010-12,0
536739,14180,United Kingdom,2010-12-02 13:08:00,31,12,12,8.65,201.75,13,2010-12,0
536740,15827,United Kingdom,2010-12-02 13:08:00,67,7,7,2.557142857142857,92.75,13,2010-12,0
536741,13117,United Kingdom,2010-12-02 13:11:00,130,15,15,1.7026666666666666,202.12,13,2010-12,0
536742,16916,United Kingdom,2010-12-02 13:14:00,102,48,49,2.56,196.43,13,2010-12,0
536743,17964,United Kingdom,2010-12-02 13:32:00,195,35,35,3.561714285714286,261.76,13,2010-12,0
536744,14466,United Kingdom,2010-12-02 13:36:00,137,10,10,5.7299999999999995,379.75,13,2010-12,0
536745,17235,United Kingdom,2010-12-02 13:38:00,126,10,10,3.4299999999999997,341.9,13,2010-12,0
536746,16510,United Kingdom,2010-12-02 13:39:00,92,13,13,5.346153846153846,248.1,13,2010-12,0
536747,17802,United Kingdom,2010-12-02 13:44:00,75,12,12,1.535,100.2,13,2010-12,0
536748,15107,United Kingdom,2010-12-02 13:45:00,26,5,5,6.6,116.0,13,2010-12,0
536749,17976,United Kingdom,2010-12-02 13:49:00,93,56,57,3.6531578947368417,321.79,13,2010-12,0
536750,17850,United Kingdom,2010-12-02 14:04:00,118,19,19,5.02421052631579,434.8,14,2010-12,0
536751,17850,United Kingdom,2010-12-02 14:05:00,12,2,2,1.85,22.200000000000003,14,2010-12,0
536752,17850,United Kingdom,2010-12-02 14:06:00,104,19,19,5.02421052631579,390.66,14,2010-12,0
536753,17850,United Kingdom,2010-12-02 14:07:00,12,2,2,1.85,22.200000000000003,14,2010-12,0
536754,14449,United Kingdom,2010-12-02 14:09:00,142,50,50,1.7358000000000002,210.24,14,2010-12,0
536759,16781,United Kingdom,2010-12-02 14:26:00,113,17,17,5.008823529411765,311.25,14,2010-12,0
536761,13491,United Kingdom,2010-12-02 14:30:00,36,7,7,4.557142857142857,98.9,14,2010-12,0
536762,16186,United Kingdom,2010-12-02 14:40:00,231,20,20,1.923,307.68,14,2010-12,0
536763,17685,United Kingdom,2010-12-02 14:42:00,331,12,12,1.5533333333333337,452.52,14,2010-12,0
536769,17581,United Kingdom,2010-12-02 14:47:00,375,31,31,2.551612903225806,668.4,14,2010-12,1
536771,17581,United Kingdom,2010-12-02 14:49:00,66,7,7,2.012857142857143,118.38,14,2010-12,0
536777,15732,United Kingdom,2010-12-02 15:00:00,97,5,5,1.844,138.1,15,2010-12,0
536778,13138,United Kingdom,2010-12-02 15:03:00,125,14,14,2.7657142857142856,193.23,15,2010-12,0
536779,15823,United Kingdom,2010-12-02 15:08:00,1,1,1,15.0,15.0,15,2010-12,0
536781,17460,United Kingdom,2010-12-02 15:14:00,24,1,1,2.1,50.400000000000006,15,2010-12,0
536782,17567,United Kingdom,2010-12-02 15:18:00,244,27,27,3.511111111111111,517.95,15,2010-12,1
536783,15061,United Kingdom,2010-12-02 15:19:00,2909,38,38,1.7515789473684211,4076.48,15,2010-12,1
536784,15061,United Kingdom,2010-12-02 15:20:00,1330,25,25,1.8488,2170.9,15,2010-12,1
536785,15061,United Kingdom,2010-12-02 15:22:00,1008,6,6,2.935,2730.96,15,2010-12,1
536786,15061,United Kingdom,2010-12-02 15:23:00,144,2,2,2.75,324.0,15,2010-12,0
536787,17850,United Kingdom,2010-12-02 15:24:00,76,13,13,2.789230769230769,192.46,15,2010-12,0
536788,15061,United Kingdom,2010-12-02 15:25:00,60,1,1,1.25,75.0,15,2010-12,0
536789,17850,United Kingdom,2010-12-02 15:25:00,12,2,2,1.85,22.200000000000003,15,2010-12,0
536790,17850,United Kingdom,2010-12-02 15:26:00,141,17,17,5.479411764705882,532.01,15,2010-12,1
536791,17850,United Kingdom,2010-12-02 15:27:00,24,2,2,1.85,44.400000000000006,15,2010-12,0
536792,15061,United Kingdom,2010-12-02 15:28:00,24,1,1,1.25,30.0,15,2010-12,0
536793,16203,United Kingdom,2010-12-02 15:39:00,70,11,11,3.0772727272727276,170.7,15,2010-12,0
536794,13767,United Kingdom,2010-12-02 15:40:00,96,4,4,3.3875,322.8,15,2010-12,0
536795,15640,United Kingdom,2010-12-02 15:40:00,180,7,7,1.832857142857143,333.72,15,2010-12,0
536796,15574,United Kingdom,2010-12-02 15:46:00,159,96,105,2.203047619047619,349.04,15,2010-12,0
536797,16770,United Kingdom,2010-12-02 15:49:00,56,6,6,2.65,130.8,15,2010-12,0
536798,17838,United Kingdom,2010-12-02 15:55:00,454,29,29,2.606551724137931,684.46,15,2010-12,1
536799,17228,United Kingdom,2010-12-02 16:00:00,122,18,18,1.727777777777778,183.3,16,2010-12,0
536800,14829,United Kingdom,2010-12-02 16:12:00,190,19,19,1.803157894736842,236.97,16,2010-12,0
536802,17412,United Kingdom,2010-12-02 16:29:00,50,8,8,4.70625,197.3,16,2010-12,0
536803,14911,EIRE,2010-12-02 16:33:00,6,1,1,3.75,22.5,16,2010-12,0
536804,14031,United Kingdom,2010-12-02 16:34:00,531,25,25,4.2264,1714.25,16,2010-12,1
536805,14775,United Kingdom,2010-12-02 16:38:00,384,20,20,1.1505,406.56,16,2010-12,0
536806,12971,United Kingdom,2010-12-02 16:42:00,84,5,5,0.584,45.12,16,2010-12,0
536808,17659,United Kingdom,2010-12-02 16:46:00,64,12,12,6.308333333333334,247.8,16,2010-12,0
536809,15299,United Kingdom,2010-12-02 16:48:00,1824,1,1,0.55,1003.2,16,2010-12,1
536810,15299,United Kingdom,2010-12-02 16:50:00,204,1,1,1.49,303.96,16,2010-12,0
536811,15299,United Kingdom,2010-12-02 16:51:00,69,1,1,7.65,527.85,16,2010-12,1
536813,15646,United Kingdom,2010-12-02 16:59:00,230,17,17,1.3911764705882357,189.8,16,2010-12,0
536819,13402,United Kingdom,2010-12-02 17:12:00,190,17,17,2.7317647058823527,308.28000000000003,17,2010-12,0
536821,17757,United Kingdom,2010-12-02 17:17:00,80,23,23,2.508695652173913,143.45000000000002,17,2010-12,0
536823,13011,United Kingdom,2010-12-02 17:22:00,13,3,3,4.216666666666667,50.55,17,2010-12,0
536824,13798,United Kingdom,2010-12-02 17:24:00,160,1,1,2.55,408.0,17,2010-12,0
536830,16754,United Kingdom,2010-12-02 17:38:00,4280,2,2,0.62,2002.4,17,2010-12,1
536831,16029,United Kingdom,2010-12-02 17:40:00,260,4,4,3.0,569.4,17,2010-12,1
536832,16634,United Kingdom,2010-12-02 17:41:00,64,8,8,4.7,164.8,17,2010-12,0
536833,18239,United Kingdom,2010-12-02 17:48:00,208,29,29,3.341379310344828,438.1,17,2010-12,0
536834,14576,United Kingdom,2010-12-02 17:51:00,12,1,1,2.95,35.400000000000006,17,2010-12,0
536835,13145,United Kingdom,2010-12-02 18:06:00,1,1,1,295.0,295.0,18,2010-12,0
536836,18168,United Kingdom,2010-12-02 18:08:00,133,26,27,4.310740740740741,263.3,18,2010-12,0
536837,14395,United Kingdom,2010-12-02 18:15:00,174,27,27,2.964814814814815,308.68,18,2010-12,0
536838,14865,United Kingdom,2010-12-02 18:23:00,96,3,3,0.4533333333333333,37.2,18,2010-12,0
536839,15093,United Kingdom,2010-12-02 18:25:00,879,16,16,1.3925,623.73,18,2010-12,1
536840,12738,Germany,2010-12-02 18:27:00,148,11,11,3.95,155.35,18,2010-12,0
536841,16150,United Kingdom,2010-12-02 18:27:00,174,22,22,3.338181818181818,393.42,18,2010-12,0
536842,17552,United Kingdom,2010-12-02 18:45:00,130,11,11,3.371818181818182,263.62,18,2010-12,0
536843,17552,United Kingdom,2010-12-02 18:46:00,14,2,2,5.6,34.9,18,2010-12,0
536844,14236,United Kingdom,2010-12-02 18:49:00,38,3,3,5.55,189.3,18,2010-12,0
536845,17961,United Kingdom,2010-12-02 19:18:00,45,28,29,3.622413793103448,127.55,19,2010-12,0
536846,14573,United Kingdom,2010-12-02 19:59:00,126,68,70,4.23,402.0,19,2010-12,0
536847,17135,United Kingdom,2010-12-03 09:31:00,222,9,9,1.21,215.58,9,2010-12,0
536848,13408,United Kingdom,2010-12-03 09:39:00,280,3,3,1.95,534.0,9,2010-12,1
536849,17396,United Kingdom,2010-12-03 09:45:00,106,3,3,3.75,397.5,9,2010-12,0
536851,12967,United Kingdom,2010-12-03 09:49:00,360,15,15,7.203333333333333,1368.4,9,2010-12,1
536852,12686,France,2010-12-03 09:51:00,107,7,7,3.258571428571429,89.14,9,2010-12,0
536856,13370,United Kingdom,2010-12-03 10:26:00,343,39,39,3.7279487179487174,754.87,10,2010-12,1
536857,16883,United Kingdom,2010-12-03 10:33:00,54,17,17,3.6611764705882353,128.03,10,2010-12,0
536858,13520,Switzerland,2010-12-03 10:36:00,110,6,6,9.241666666666667,303.4,10,2010-12,0
