InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,InvoiceMonth,InvoiceDayOfWeek,InvoiceHour
536446,21587,COSY HOUR GIANT TUBE MATCHES,4,2010-12-01 12:15:00,2.55,15983,United Kingdom,10.2,2010-12,Wednesday,12
536446,21156,RETROSPOT CHILDRENS APRON,1,2010-12-01 12:15:00,1.95,15983,United Kingdom,1.95,2010-12,Wednesday,12
536446,21156,RETROSPOT CHILDRENS APRON,3,2010-12-01 12:15:00,1.95,15983,United Kingdom,5.85,2010-12,Wednesday,12
536460,22670,FRENCH WC SIGN BLUE METAL,12,2010-12-01 12:22:00,1.25,14849,United Kingdom,15.0,2010-12,Wednesday,12
536464,21738,COSY SLIPPER SHOES SMALL  RED,1,2010-12-01 12:23:00,2.95,17968,United Kingdom,2.95,2010-12,Wednesday,12
536464,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-01 12:23:00,1.69,17968,United Kingdom,13.52,2010-12,Wednesday,12
536464,21328,BALLOONS  WRITING SET,1,2010-12-01 12:23:00,1.65,17968,United Kingdom,1.65,2010-12,Wednesday,12
536464,21327,SKULLS WRITING SET,1,2010-12-01 12:23:00,1.65,17968,United Kingdom,1.65,2010-12,Wednesday,12
536464,90200B,BLACK SWEETHEART BRACELET,2,2010-12-01 12:23:00,4.25,17968,United Kingdom,8.5,2010-12,Wednesday,12
536464,22312,OFFICE MUG WARMER POLKADOT,1,2010-12-01 12:23:00,2.95,17968,United Kingdom,2.95,2010-12,Wednesday,12
536464,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,2010-12-01 12:23:00,2.1,17968,United Kingdom,2.1,2010-12,Wednesday,12
536464,22603,CHRISTMAS RETROSPOT TREE WOOD,2,2010-12-01 12:23:00,0.85,17968,United Kingdom,1.7,2010-12,Wednesday,12
536464,22619,SET OF 6 SOLDIER SKITTLES,1,2010-12-01 12:23:00,3.75,17968,United Kingdom,3.75,2010-12,Wednesday,12
536464,21815,STAR  T-LIGHT HOLDER,1,2010-12-01 12:23:00,1.45,17968,United Kingdom,1.45,2010-12,Wednesday,12
536464,22737,RIBBON REEL CHRISTMAS PRESENT,1,2010-12-01 12:23:00,1.65,17968,United Kingdom,1.65,2010-12,Wednesday,12
536477,84029E,RED WOOLLY HOTTIE WHITE HEART.,24,2010-12-01 12:27:00,3.39,16210,United Kingdom,81.36,2010-12,Wednesday,12
536477,20977,36 PENCILS TUBE WOODLAND,16,2010-12-01 12:27:00,1.25,16210,United Kingdom,20.0,2010-12,Wednesday,12
536488,22738,RIBBON REEL SNOWY VILLAGE,5,2010-12-01 12:31:00,1.65,17897,United Kingdom,8.25,2010-12,Wednesday,12
536488,21621,VINTAGE UNION JACK BUNTING,1,2010-12-01 12:31:00,8.5,17897,United Kingdom,8.5,2010-12,Wednesday,12
536488,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED,2,2010-12-01 12:31:00,1.25,17897,United Kingdom,2.5,2010-12,Wednesday,12
536488,22651,GENTLEMAN SHIRT REPAIR KIT,2,2010-12-01 12:31:00,0.85,17897,United Kingdom,1.7,2010-12,Wednesday,12
536488,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2010-12-01 12:31:00,2.1,17897,United Kingdom,4.2,2010-12,Wednesday,12
536488,21577,SAVE THE PLANET COTTON TOTE BAG,1,2010-12-01 12:31:00,2.25,17897,United Kingdom,2.25,2010-12,Wednesday,12
536488,22087,PAPER BUNTING WHITE LACE,1,2010-12-01 12:31:00,2.95,17897,United Kingdom,2.95,2010-12,Wednesday,12
536488,70007,HI TEC ALPINE HAND WARMER,1,2010-12-01 12:31:00,1.65,17897,United Kingdom,1.65,2010-12,Wednesday,12
536488,22372,AIRLINE BAG VINTAGE WORLD CHAMPION,1,2010-12-01 12:31:00,4.25,17897,United Kingdom,4.25,2010-12,Wednesday,12
536500,21035,SET/2 RED RETROSPOT TEA TOWELS,3,2010-12-01 12:35:00,2.95,17377,United Kingdom,8.850000000000001,2010-12,Wednesday,12
536500,22983,CARD BILLBOARD FONT,12,2010-12-01 12:35:00,0.42,17377,United Kingdom,5.04,2010-12,Wednesday,12
536500,22900,SET 2 TEA TOWELS I LOVE LONDON,7,2010-12-01 12:35:00,2.95,17377,United Kingdom,20.65,2010-12,Wednesday,12
536500,22616,PACK OF 12 LONDON TISSUES,12,2010-12-01 12:35:00,0.29,17377,United Kingdom,3.4799999999999995,2010-12,Wednesday,12
536502,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 12:36:00,12.75,16552,United Kingdom,25.5,2010-12,Wednesday,12
536502,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 12:36:00,2.95,16552,United Kingdom,17.700000000000003,2010-12,Wednesday,12
536520,22099,CARAVAN SQUARE TISSUE BOX,2,2010-12-01 12:43:00,1.25,14729,United Kingdom,2.5,2010-12,Wednesday,12
536520,22096,PINK PAISLEY SQUARE TISSUE BOX,1,2010-12-01 12:43:00,1.25,14729,United Kingdom,1.25,2010-12,Wednesday,12
536520,21175,GIN + TONIC DIET METAL SIGN,1,2010-12-01 12:43:00,2.1,14729,United Kingdom,2.1,2010-12,Wednesday,12
536520,22643,SET OF 4 NAPKIN CHARMS LEAVES,4,2010-12-01 12:43:00,2.55,14729,United Kingdom,10.2,2010-12,Wednesday,12
536520,21123,SET/10 IVORY POLKADOT PARTY CANDLES,1,2010-12-01 12:43:00,1.25,14729,United Kingdom,1.25,2010-12,Wednesday,12
536520,22470,HEART OF WICKER LARGE,1,2010-12-01 12:43:00,2.95,14729,United Kingdom,2.95,2010-12,Wednesday,12
536520,22906,12 MESSAGE CARDS WITH ENVELOPES,6,2010-12-01 12:43:00,1.65,14729,United Kingdom,9.9,2010-12,Wednesday,12
536522,21810,CHRISTMAS HANGING STAR WITH BELL,2,2010-12-01 12:49:00,1.25,15012,United Kingdom,2.5,2010-12,Wednesday,12
536522,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,1,2010-12-01 12:49:00,4.25,15012,United Kingdom,4.25,2010-12,Wednesday,12
536522,22449,SILK PURSE BABUSHKA PINK,1,2010-12-01 12:49:00,3.35,15012,United Kingdom,3.35,2010-12,Wednesday,12
536522,21664,RIDGED GLASS STORAGE JAR CREAM LID,2,2010-12-01 12:49:00,3.75,15012,United Kingdom,7.5,2010-12,Wednesday,12
536522,22865,HAND WARMER OWL DESIGN,2,2010-12-01 12:49:00,2.1,15012,United Kingdom,4.2,2010-12,Wednesday,12
536522,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-01 12:49:00,1.95,15012,United Kingdom,1.95,2010-12,Wednesday,12
536522,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,1,2010-12-01 12:49:00,3.75,15012,United Kingdom,3.75,2010-12,Wednesday,12
536522,22151,PLACE SETTING WHITE HEART,2,2010-12-01 12:49:00,0.42,15012,United Kingdom,0.84,2010-12,Wednesday,12
536522,21098,CHRISTMAS TOILET ROLL,2,2010-12-01 12:49:00,1.25,15012,United Kingdom,2.5,2010-12,Wednesday,12
536523,22699,ROSES REGENCY TEACUP AND SAUCER,6,2010-12-01 12:50:00,2.95,12868,United Kingdom,17.700000000000003,2010-12,Wednesday,12
536523,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2010-12-01 12:50:00,2.1,12868,United Kingdom,12.6,2010-12,Wednesday,12
536523,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6,2010-12-01 12:50:00,4.95,12868,United Kingdom,29.700000000000003,2010-12,Wednesday,12
536525,20750,RED RETROSPOT MINI CASES,10,2010-12-01 12:54:00,7.95,14078,United Kingdom,79.5,2010-12,Wednesday,12
536525,15044B,BLUE PAPER PARASOL,1,2010-12-01 12:54:00,2.95,14078,United Kingdom,2.95,2010-12,Wednesday,12
536525,21324,HANGING MEDINA LANTERN SMALL,2,2010-12-01 12:54:00,2.95,14078,United Kingdom,5.9,2010-12,Wednesday,12
536526,22626,BLACK KITCHEN SCALES,2,2010-12-01 12:58:00,8.5,14001,United Kingdom,17.0,2010-12,Wednesday,12
536526,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,16,2010-12-01 12:58:00,2.95,14001,United Kingdom,47.2,2010-12,Wednesday,12
536527,20712,JUMBO BAG WOODLAND ANIMALS,10,2010-12-01 13:04:00,1.95,12662,Germany,19.5,2010-12,Wednesday,13
536527,22837,HOT WATER BOTTLE BABUSHKA,4,2010-12-01 13:04:00,4.65,12662,Germany,18.6,2010-12,Wednesday,13
536528,22570,FELTCRAFT CUSHION RABBIT,1,2010-12-01 13:17:00,3.75,15525,United Kingdom,3.75,2010-12,Wednesday,13
536528,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,3,2010-12-01 13:17:00,2.95,15525,United Kingdom,8.850000000000001,2010-12,Wednesday,13
536528,22082,RIBBON REEL STRIPES DESIGN,1,2010-12-01 13:17:00,1.65,15525,United Kingdom,1.65,2010-12,Wednesday,13
536528,22616,PACK OF 12 LONDON TISSUES,1,2010-12-01 13:17:00,0.29,15525,United Kingdom,0.29,2010-12,Wednesday,13
536528,22938,CUPCAKE LACE PAPER SET 6,1,2010-12-01 13:17:00,1.95,15525,United Kingdom,1.95,2010-12,Wednesday,13
536528,22077,6 RIBBONS RUSTIC CHARM,2,2010-12-01 13:17:00,1.65,15525,United Kingdom,3.3,2010-12,Wednesday,13
536528,22812,PACK 3 BOXES CHRISTMAS PANNETONE,3,2010-12-01 13:17:00,1.95,15525,United Kingdom,5.85,2010-12,Wednesday,13
536528,21731,RED TOADSTOOL LED NIGHT LIGHT,2,2010-12-01 13:17:00,1.65,15525,United Kingdom,3.3,2010-12,Wednesday,13
536528,22900,SET 2 TEA TOWELS I LOVE LONDON,1,2010-12-01 13:17:00,2.95,15525,United Kingdom,2.95,2010-12,Wednesday,13
536529,22487,WHITE WOOD GARDEN PLANT LADDER,2,2010-12-01 13:20:00,9.95,14237,United Kingdom,19.9,2010-12,Wednesday,13
536530,85104,SILVER GLASS T-LIGHT SET,8,2010-12-01 13:21:00,2.95,17905,United Kingdom,23.6,2010-12,Wednesday,13
536530,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,2010-12-01 13:21:00,19.95,17905,United Kingdom,19.95,2010-12,Wednesday,13
536531,21498,RED RETROSPOT WRAP,25,2010-12-01 13:23:00,0.42,15485,United Kingdom,10.5,2010-12,Wednesday,13
536531,21506,"FANCY FONT BIRTHDAY CARD,",24,2010-12-01 13:23:00,0.42,15485,United Kingdom,10.08,2010-12,Wednesday,13
536531,22191,IVORY DINER WALL CLOCK,4,2010-12-01 13:23:00,8.5,15485,United Kingdom,34.0,2010-12,Wednesday,13
536531,22768,FAMILY PHOTO FRAME CORNICE,6,2010-12-01 13:23:00,9.95,15485,United Kingdom,59.7,2010-12,Wednesday,13
536531,15056BL,EDWARDIAN PARASOL BLACK,12,2010-12-01 13:23:00,5.95,15485,United Kingdom,71.4,2010-12,Wednesday,13
536532,82600,NO SINGING METAL SIGN,24,2010-12-01 13:24:00,2.1,12433,Norway,50.400000000000006,2010-12,Wednesday,13
536532,22544,MINI JIGSAW SPACEBOY,24,2010-12-01 13:24:00,0.42,12433,Norway,10.08,2010-12,Wednesday,13
536532,21984,PACK OF 12 PINK PAISLEY TISSUES,48,2010-12-01 13:24:00,0.29,12433,Norway,13.919999999999998,2010-12,Wednesday,13
536532,22551,PLASTERS IN TIN SPACEBOY,24,2010-12-01 13:24:00,1.65,12433,Norway,39.599999999999994,2010-12,Wednesday,13
536532,22615,PACK OF 12 CIRCUS PARADE TISSUES,48,2010-12-01 13:24:00,0.29,12433,Norway,13.919999999999998,2010-12,Wednesday,13
536532,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,12,2010-12-01 13:24:00,2.95,12433,Norway,35.400000000000006,2010-12,Wednesday,13
536532,21983,PACK OF 12 BLUE PAISLEY TISSUES,48,2010-12-01 13:24:00,0.29,12433,Norway,13.919999999999998,2010-12,Wednesday,13
536532,21156,RETROSPOT CHILDRENS APRON,8,2010-12-01 13:24:00,1.95,12433,Norway,15.6,2010-12,Wednesday,13
536532,21982,PACK OF 12 SUKI TISSUES,48,2010-12-01 13:24:00,0.29,12433,Norway,13.919999999999998,2010-12,Wednesday,13
536532,22558,CLOTHES PEGS RETROSPOT PACK 24,24,2010-12-01 13:24:00,1.49,12433,Norway,35.76,2010-12,Wednesday,13
536535,21156,RETROSPOT CHILDRENS APRON,8,2010-12-01 13:38:00,1.95,15605,United Kingdom,15.6,2010-12,Wednesday,13
536535,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,2010-12-01 13:38:00,7.95,15605,United Kingdom,15.9,2010-12,Wednesday,13
536535,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2010-12-01 13:38:00,4.95,15605,United Kingdom,14.85,2010-12,Wednesday,13
536535,20685,DOORMAT RED RETROSPOT,2,2010-12-01 13:38:00,7.95,15605,United Kingdom,15.9,2010-12,Wednesday,13
536537,20867,PINK ROSE FABRIC MIRROR,36,2010-12-01 13:51:00,1.25,15922,United Kingdom,45.0,2010-12,Wednesday,13
536538,21143,ANTIQUE GLASS HEART DECORATION,3,2010-12-01 13:54:00,1.95,14594,United Kingdom,5.85,2010-12,Wednesday,13
536538,21471,STRAWBERRY RAFFIA FOOD COVER,1,2010-12-01 13:54:00,3.75,14594,United Kingdom,3.75,2010-12,Wednesday,13
536539,72741,GRAND CHOCOLATECANDLE,18,2010-12-01 14:03:00,1.45,15165,United Kingdom,26.1,2010-12,Wednesday,14
536539,22557,PLASTERS IN TIN VINTAGE PAISLEY,12,2010-12-01 14:03:00,1.65,15165,United Kingdom,19.799999999999997,2010-12,Wednesday,14
536539,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2010-12-01 14:03:00,7.95,15165,United Kingdom,15.9,2010-12,Wednesday,14
536539,48129,DOORMAT TOPIARY,2,2010-12-01 14:03:00,7.95,15165,United Kingdom,15.9,2010-12,Wednesday,14
536539,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-12-01 14:03:00,3.95,15165,United Kingdom,15.8,2010-12,Wednesday,14
536540,22147,FELTCRAFT BUTTERFLY HEARTS,12,2010-12-01 14:05:00,1.45,14911,EIRE,17.4,2010-12,Wednesday,14
536540,21889,WOODEN BOX OF DOMINOES,24,2010-12-01 14:05:00,1.25,14911,EIRE,30.0,2010-12,Wednesday,14
536540,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,6,2010-12-01 14:05:00,2.95,14911,EIRE,17.700000000000003,2010-12,Wednesday,14
536542,22386,JUMBO BAG PINK POLKADOT,30,2010-12-01 14:11:00,1.95,16456,United Kingdom,58.5,2010-12,Wednesday,14
536542,85099F,JUMBO BAG STRAWBERRY,30,2010-12-01 14:11:00,1.95,16456,United Kingdom,58.5,2010-12,Wednesday,14
